bowl,wickets,runs,balls,econ,avg
Alexander Kok,1,49,38,7.74,49.0
Alexandros Aspiotis,2,24,28,5.14,12.0
Alexandros Karvelas,3,100,88,6.82,33.33
Alexis Balla,0,16,8,12.0,
Alfonso Thomas,17,390,234,10.0,22.94
Alfred Beresford-Peirse,8,354,273,7.78,44.25
Alfred Mothoa,36,833,736,6.79,23.14
Ali Abdulla Popalzae,3,21,18,7.0,7.0
Ali Asfand,4,49,48,6.12,12.25
Ali Dawood,111,1367,1437,5.71,12.32
Ali Hasan,8,83,120,4.15,10.38
Ali Hasnain,6,62,72,5.17,10.33
Ali Hussain,5,224,151,8.9,44.8
Ali Imran,2,54,36,9.0,27.0
Ali Khan,104,2857,2063,8.31,27.47
Ali Majid,4,131,119,6.61,32.75
Ali Masood,24,392,312,7.54,16.33
Ali Muaaz,0,1,1,6.0,
Ali Naqi,3,65,68,5.74,21.67
Ali Naseer,48,964,780,7.42,20.08
Ali Nawaz,11,246,144,10.25,22.36
Ali Nayyer,38,686,607,6.78,18.05
Ali Rasool,2,123,69,10.7,61.5
Ali Raza,12,303,211,8.62,25.25
Ali Saleem,1,4,6,4.0,4.0
Ali Shafiq,12,361,269,8.05,30.08
Ali Sheikh,10,181,156,6.96,18.1
Ali Turkmen,17,371,350,6.36,21.82
Ali Waqar,3,152,115,7.93,50.67
Ali Yalmaz,8,192,128,9.0,24.0
Alick Athanaze,0,16,7,13.71,
Alindile Mhletywa,4,71,51,8.35,17.75
Alishan Sharafu,0,3,1,18.0,
Alistair Frost,8,196,136,8.65,24.5
Alistair Ifill,26,486,459,6.35,18.69
Alister Gajic,23,507,373,8.16,22.04
Alister McDermott,0,12,7,10.29,
Allah Ghazanfar,5,56,55,6.11,11.2
Allan Chigoma,0,21,22,5.73,
Allan Douglas,16,217,208,6.26,13.56
Ally Kimote,82,1243,1077,6.92,15.16
Alok Kapali,37,772,640,7.24,20.86
Alpesh Ramjani,105,1007,1280,4.72,9.59
Altaf Gill,2,58,43,8.09,29.0
