year,bat,runs,balls,sr
2021,Kieron Pollard,137,139,98.56
2021,Kiplin Doriga,46,131,35.11
2021,Kjorn Ottley,25,52,48.08
2021,Krunal Pandya,130,128,101.56
2021,Kusal Mendis,61,94,64.89
2021,Kusal Perera,246,277,88.81
2021,Kushal Bhurtel,144,184,78.26
2021,Kyle Coetzer,195,280,69.64
2021,Kyle Mayers,51,88,57.95
2021,Kyle Verreynne,182,201,90.55
2021,Lega Siaka,148,180,82.22
2021,Lewis Gregory,117,116,100.86
2021,Liam Livingstone,72,64,112.5
2021,Litton Das,256,356,71.91
2021,Logan van Beek,89,129,68.99
2021,Lorcan Tucker,229,326,70.25
2021,Mahmudullah,399,489,81.6
2021,Manish Pandey,74,90,82.22
2021,Martin Guptill,84,71,118.31
2021,Matthew Cross,122,180,67.78
2021,Matthew Wade,90,124,72.58
2021,Max O'Dowd,194,258,75.19
2021,Mehidy Hasan Miraz,33,58,56.9
2021,Michael van Lingen,68,67,101.49
2021,Minod Bhanuka,105,156,67.31
2021,Mitchell Marsh,57,60,95.0
2021,Moeen Ali,87,119,73.11
2021,Mohammad Mithun,139,203,68.47
2021,Mohammad Nabi,35,61,57.38
2021,Mohammad Nadeem,133,262,50.76
2021,Mohammad Rizwan,134,139,96.4
2021,Mohammad Saifuddin,72,85,84.71
2021,Monank Patel,238,301,79.07
2021,Mosaddek Hossain,71,108,65.74
2021,Muhammad Usman,105,122,86.07
2021,Mushfiqur Rahim,407,531,76.65
2021,Najmul Hossain Shanto,38,65,58.46
2021,Naseem Khushi,117,122,95.9
2021,Nicholas Pooran,112,130,86.15
2021,Nisarg Patel,70,150,46.67
2021,Nkrumah Bonner,51,95,53.68
2021,Norman Vanua,123,175,70.29
2021,Pathum Nissanka,86,155,55.48
2021,Paul Stirling,673,846,79.55
2021,Phil Salt,104,89,116.85
2021,Pieter Seelaar,36,100,36.0
2021,Prithvi Shaw,105,84,125.0
2021,Quinton de Kock,220,195,112.82
2021,Rahmanullah Gurbaz,180,163,110.43
2021,Rahmat Shah,108,127,85.04
2021,Rashid Khan,103,70,147.14
2021,Rassie van der Dussen,342,358,95.53
2021,Raymon Reifer,29,59,49.15
2021,Reeza Hendricks,58,71,81.69
2021,Regis Chakabva,171,199,85.93
2021,Richie Berrington,184,232,79.31
2021,Rishabh Pant,155,102,151.96
2021,Rohit Paudel,217,327,66.36
2021,Rohit Sharma,90,104,86.54
2021,Rovman Powell,116,146,79.45
2021,Ruben Trumpelmann,35,60,58.33
2021,Ryan Burl,70,70,100.0
2021,Sam Curran,116,112,103.57
2021,Sandeep Goud,198,263,75.29
2021,Saqib Zulfiqar,37,104,35.58
2021,Saud Shakeel,64,93,68.82
2021,Scott Edwards,84,120,70.0
2021,Sean Williams,37,68,54.41
2021,Sese Bau,76,175,43.43
2021,Shadab Khan,97,117,82.91
2021,Shaheen Shah Afridi,35,69,50.72
2021,Shai Hope,310,391,79.28
2021,Shakib Al Hasan,277,394,70.3
2021,Shikhar Dhawan,297,323,91.95
2021,Sikandar Raza,155,161,96.27
2021,Simi Singh,280,322,86.96
2021,Sohaib Maqsood,46,54,85.19
2021,Sompal Kami,42,67,62.69
2021,Soumya Sarkar,40,63,63.49
2021,Stephan Myburgh,154,259,59.46
2021,Steven Taylor,216,191,113.09
2021,Suraj Kumar,138,167,82.63
2021,Suryakumar Yadav,124,101,122.77
2021,Sushant Modani,69,126,54.76
2021,Tamim Iqbal,460,600,76.67
2021,Taskin Ahmed,20,59,33.9
2021,Temba Bavuma,164,205,80.0
2021,Timm van der Gugten,50,61,81.97
2021,Tom Latham,128,141,90.78
2021,Tony Ura,60,132,45.45
2021,Virat Kohli,129,149,86.58
2021,Vriitya Aravind,32,56,57.14
2021,Wanindu Hasaranga,356,376,94.68
2021,Wessly Madhevere,103,127,81.1
2021,William Porterfield,226,343,65.89
2021,Zak Crawley,97,85,114.12
2021,Zane Green,76,94,80.85
2021,Zawar Farid,43,52,82.69
2021,Zeeshan Maqsood,270,391,69.05
2021,Zubayr Hamza,56,79,70.89
2022,Aarif Sheikh,443,726,61.02
2022,Aaron Finch,174,245,71.02
2022,Aaron Jones,770,995,77.39
2022,Aasif Sheikh,466,619,75.28
2022,Aayan Afzal Khan,82,99,82.83
2022,Afif Hossain,349,419,83.29
2022,Agha Salman,101,93,108.6
2022,Ahmed Raza,110,156,70.51
2022,Aiden Markram,245,277,88.45
2022,Akeal Hosein,218,265,82.26
2022,Alex Carey,426,509,83.69
2022,Alishan Sharafu,144,207,69.57
